list_title,url,price,area,category,prop_type,prop_title1,prop_title2,bedrooms,bathroom,facilities,size,size_unit
"Murah, SD 2 Apartment, Deposit Nego, Bandar Sri Damansara",https://www.mudah.my/Murah+SD+2+Apartment+Deposit+Nego+Bandar+Sri+Damansara-81930340.htm,310000,Sri Damansara,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV",807.0,sq.ft.
"Rumah Cantik, Ground Floor SD II Apartment,Deposit Nego, Sri Damansara",https://www.mudah.my/Rumah+Cantik+Ground+Floor+SD+II+Apartment+Deposit+Nego+Sri+Damansara-81929985.htm,375000,Sri Damansara,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,2,"Mini Market, Playground, 24 Hour Security",807.0,sq.ft.
Sri desa condo for quick sale.2+1 rooms with balcony view,https://www.mudah.my/Sri+desa+condo+for+quick+sale+2+1+rooms+with+balcony+view-83018592.htm,340000,Kuchai Lama,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Balcony/Patio",1011.0,sq.ft.
"Taman Tun Abdul Razak, Menara Impian, Ampang.EXCELLENT VIEW",https://www.mudah.my/Taman+Tun+Abdul+Razak+Menara+Impian+Ampang+EXCELLENT+VIEW-82739229.htm,430000,Ampang Hilir,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",1145.0,sq.ft.
1st Floor Bayu Apartment Damansara Damai Excellent condition,https://www.mudah.my/1st+Floor+Bayu+Apartment+Damansara+Damai+Excellent+condition-81135081.htm,225000,Damansara,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Mini Market, Playground, Jogging Track, 24 Hour Security",710.0,sq.ft.
Luxury Highest Sky Condo Setapak Tarc KLCC View,https://www.mudah.my/Luxury+Highest+Sky+Condo+Setapak+Tarc+KLCC+View-83613839.htm,358000,Setapak,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,2,2,,900.0,sq.ft.
Pangsapuri Segar ria corner lot taman segar,https://www.mudah.my/Pangsapuri+Segar+ria+corner+lot+taman+segar-75113435.htm,170000,Cheras,Apartments,Apartment/ Flat,Freehold,Bumi Lot,3,2,"Mini Market, Playground, Jogging Track",650.0,sq.ft.
"M3 Residency, Taman Melati, Gombak KL Near LRT",https://www.mudah.my/M3+Residency+Taman+Melati+Gombak+KL+Near+LRT-81264337.htm,400000,Gombak,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",925.0,sq.ft.
Pangsapuri Segar Ria Cheras 3R1B 650SF [ Full Loan ] Cash Back,https://www.mudah.my/Pangsapuri+Segar+Ria+Cheras+3R1B+650SF+Full+Loan+Cash+Back-83710630.htm,155000,Cheras,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,1,"Mini Market, Playground, Jogging Track",650.0,sq.ft.
"Sri Ayu Apartment, Setiawangsa (Below MV) Fully-Furnished",https://www.mudah.my/Sri+Ayu+Apartment+Setiawangsa+Below+MV+Fully+Furnished-83710615.htm,515000,Setiawangsa,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Playground, 24 Hour Security",1200.0,sq.ft.
Sunway Montana 2 storey lower unit townhouse with kl city skyline view,https://www.mudah.my/Sunway+Montana+2+storey+lower+unit+townhouse+with+kl+city+skyline+view-73767168.htm,1590000,Taman Melawati,Houses,Townhouse,Freehold,Non Bumi Lot,4,4,"Swimming Pool, Gymnasium, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",2449.0,sq.ft.
